見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
、,、,、,特殊,読点,NIL,3,101
勝ったら,かったら,勝つ,動詞,*,代表表記:勝つ/かつ 反義:動詞:負ける/まける,3,101
、,、,、,特殊,読点,NIL,3,101
この,この,この,指示詞,連体詞形態指示詞,NIL,3,101
トラ,とら,トラ,名詞,普通名詞,代表表記:虎/とら カテゴリ:動物,3,101
の,の,の,助詞,接続助詞,NIL,3,101
宝物,たからもの,宝物,名詞,普通名詞,代表表記:宝物/たからもの カテゴリ:抽象物,3,101
を,を,を,助詞,格助詞,NIL,3,101
きみ,きみ,きみ,名詞,普通名詞,代表表記:君/きみ カテゴリ:人 漢字読み:訓,3,101
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,3,101
に,に,に,助詞,格助詞,NIL,3,101
あげる,あげる,あげる,動詞,*,代表表記:上げる/あげる 反義:動詞:下ろす/おろす;動詞:降ろす/おろす 自他動詞:自:上がる/あがる 付属動詞候補（基本） 付属動詞候補（タ系）,3,101
。,。,。,特殊,句点,NIL,3,101
つまり,つまり,つまり,副詞,*,代表表記:つまり/つまり,3,102
優勝,ゆうしょう,優勝,名詞,サ変名詞,代表表記:優勝/ゆうしょう ドメイン:スポーツ カテゴリ:抽象物,3,102
旗,き,旗,名詞,普通名詞,代表表記:旗/き カテゴリ:人工物-その他 漢字読み:音,3,102
みたいな,みたいな,みたいだ,助動詞,*,NIL,3,102
もの,もの,もの,名詞,形式名詞,NIL,3,102
だ,だ,だ,判定詞,*,NIL,3,102
ね,ね,ね,助詞,終助詞,NIL,3,102
。,。,。,特殊,句点,NIL,3,102
また,また,また,副詞,*,代表表記:又/また,3,103
二,に,二,名詞,数詞,カテゴリ:数量,3,103
ヵ,ヵ,ヵ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,3,103
月,げつ,月,名詞,時相名詞,代表表記:月/げつ カテゴリ:時間 漢字読み:音,3,103
の,の,の,助詞,接続助詞,NIL,3,103
うち,うち,うち,名詞,副詞的名詞,代表表記:うち/うち,3,103
に,に,に,助詞,格助詞,NIL,3,103
、,、,、,特殊,読点,NIL,3,103
取りもどせ,とりもどせ,取りもどせる,動詞,*,代表表記:取り戻せる/とりもどせる 可能動詞:取り戻す/とりもどす,3,103
なかったら,なかったら,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,3,103
、,、,、,特殊,読点,NIL,3,103
きみ,きみ,きみ,名詞,普通名詞,代表表記:君/きみ カテゴリ:人 漢字読み:訓,3,103
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,3,103
の,の,の,助詞,接続助詞,NIL,3,103
負け,まけ,負け,名詞,普通名詞,代表表記:負け/まけv 反義:動詞:勝つ/かつ 自他動詞:他:負かす/まかす;他:負かせる/まかせる 連用形名詞化:負ける/まける,3,103
で,で,で,助詞,格助詞,NIL,3,103
、,、,、,特殊,読点,NIL,3,103
トラ,とら,トラ,名詞,普通名詞,代表表記:虎/とら カテゴリ:動物,3,103
は,は,は,助詞,副助詞,NIL,3,103
わし,わし,わし,名詞,普通名詞,代表表記:わし/わし カテゴリ:人,3,103
の,の,の,助詞,接続助詞,NIL,3,103
もの,もの,もの,名詞,形式名詞,NIL,3,103
だ,だ,だ,判定詞,*,NIL,3,103
。,。,。,特殊,句点,NIL,3,103
わかった,わかった,わかる,動詞,*,代表表記:分かる/わかる,3,104
か,か,か,助詞,接続助詞,NIL,3,104
ね,ね,ね,助詞,終助詞,NIL,3,104
